input,target
"tutor: It was yesterday that I met her. (câu đúng) - Học viên viết ""It was yesterday I met her.""", || Lỗi:  || HD: .
"tutor: It is Tom who helped me. (câu đúng) - Học viên viết ""It is Tom helped me.""", || Lỗi:  || HD: .
"tutor: It was the red car that I bought. (câu đúng) - Học viên viết ""It was the red car I bought.""", || Lỗi:  || HD: .
"tutor: What I need is a new car. (câu đúng) - Học viên viết ""What I need a new car.""", || Lỗi:  || HD: .
"tutor: It was in the park that we first kissed. (câu đúng) - Học viên viết ""It was in the park we first kissed.""", || Lỗi:  || HD: .
"tutor: What he did was surprising. (câu đúng) - Học viên viết ""What he did surprising.""", || Lỗi:  || HD: .
"tutor: It was because of the rain that we stayed home. (câu đúng) - Học viên viết ""It was because of the rain we stayed home.""", || Lỗi:  || HD: .
tutor: All I need is your love. (câu đúng - biến thể của 'What I need'), || Lỗi:  || HD: .
"tutor: It is English that I find most difficult. (câu đúng) - Học viên viết ""It is English I find most difficult.""", || Lỗi:  || HD: .
"tutor: What I want is to travel around the world. (câu đúng) - Học viên viết ""What I want to travel around the world.""", || Lỗi:  || HD: .
"tutor: It was not until I met you that I understood love. (câu đúng) - Học viên viết ""It was not until I met you I understood love.""", || Lỗi:  || HD: .
"tutor: The reason why I'm late is that I missed the bus. (câu đúng) - Học viên viết ""The reason I'm late is I missed the bus.""", || Lỗi:  || HD: .
"tutor: It was my brother who broke the window. (câu đúng) - Học viên viết ""It was my brother broke the window.""", || Lỗi:  || HD: .
"tutor: What I like most is reading books. (câu đúng) - Học viên viết ""What I like most reading books.""", || Lỗi:  || HD: .
"tutor: It was in 1990 that I was born. (câu đúng) - Học viên viết ""It was in 1990 I was born.""", || Lỗi:  || HD: .
"tutor: It is the blue one that I want. (câu đúng) - Học viên viết ""It is the blue one I want.""", || Lỗi:  || HD: .
"tutor: All that matters is your happiness. (câu đúng) - Học viên viết ""All that matters your happiness.""", || Lỗi:  || HD: .
"tutor: It was with great joy that we received the news. (câu đúng) - Học viên viết ""It was with great joy we received the news.""", || Lỗi:  || HD: .
"tutor: What happened was unexpected. (câu đúng) - Học viên viết ""What happened unexpected.""", || Lỗi:  || HD: .
"tutor: It is the teacher who I respect the most. (câu đúng) - Học viên viết ""It is the teacher I respect the most.""", || Lỗi:  || HD: .
"tutor: What I need are more friends. (câu đúng - 'are' vì 'friends' số nhiều) - Học viên viết ""What I need is more friends."" (cũng đúng)", || Lỗi:  || HD: .
"tutor: It was her that I saw at the party. (câu đúng) - Học viên viết ""It was her I saw at the party.""", || Lỗi:  || HD: .
"tutor: The thing that I hate most is injustice. (câu đúng) - Học viên viết ""The thing I hate most is injustice.""", || Lỗi:  || HD: .
"tutor: It was because she was ill that she didn't come. (câu đúng) - Học viên viết ""It was because she was ill she didn't come.""", || Lỗi:  || HD: .
"tutor: What I need is a break. (câu đúng) - Học viên viết ""What I need a break.""", || Lỗi:  || HD: .
"tutor: It was at this moment that I realized my mistake. (câu đúng) - Học viên viết ""It was at this moment I realized my mistake.""", || Lỗi:  || HD: .
"tutor: What he said made me angry. (câu đúng) - Học viên viết ""What he said made me angry."" (câu đúng, không cần sửa)", || Lỗi:  || HD: .
"tutor: It is English that is spoken here. (câu đúng) - Học viên viết ""It is English is spoken here.""", || Lỗi:  || HD: .
"tutor: What I'm looking for is a job. (câu đúng) - Học viên viết ""What I'm looking for a job.""", || Lỗi:  || HD: .
"tutor: It was in Paris that they first met. (câu đúng) - Học viên viết ""It was in Paris they first met.""", || Lỗi:  || HD: .
"tutor: All I want is a cup of coffee. (câu đúng) - Học viên viết ""All I want a cup of coffee.""", || Lỗi:  || HD: .
"tutor: It was the noise that woke me up. (câu đúng) - Học viên viết ""It was the noise woke me up.""", || Lỗi:  || HD: .
"tutor: What I really need is your support. (câu đúng) - Học viên viết ""What I really need your support.""", || Lỗi:  || HD: .
"tutor: It was because of his laziness that he failed. (câu đúng) - Học viên viết ""It was because of his laziness he failed.""", || Lỗi:  || HD: .
"tutor: What she does is none of my business. (câu đúng) - Học viên viết ""What she does none of my business.""", || Lỗi:  || HD: .
"tutor: It was on the phone that I told him. (câu đúng) - Học viên viết ""It was on the phone I told him.""", || Lỗi:  || HD: .
"tutor: What I hate is being lied to. (câu đúng) - Học viên viết ""What I hate being lied to.""", || Lỗi:  || HD: .
"tutor: It was with a heavy heart that he said goodbye. (câu đúng) - Học viên viết ""It was with a heavy heart he said goodbye.""", || Lỗi:  || HD: .
"tutor: What I remember most is his smile. (câu đúng) - Học viên viết ""What I remember most his smile.""", || Lỗi:  || HD: .
"tutor: It was the red one that I chose. (câu đúng) - Học viên viết ""It was the red one I chose.""", || Lỗi:  || HD: .
