input,target
"grammar: It was yesterday that I met her. (câu đúng) - Học viên viết ""It was yesterday I met her.""", || Hint: Grammar error
"grammar: It is Tom who helped me. (câu đúng) - Học viên viết ""It is Tom helped me.""", || Hint: Grammar error
"grammar: It was the red car that I bought. (câu đúng) - Học viên viết ""It was the red car I bought.""", || Hint: Grammar error
"grammar: What I need is a new car. (câu đúng) - Học viên viết ""What I need a new car.""", || Hint: Grammar error
"grammar: It was in the park that we first kissed. (câu đúng) - Học viên viết ""It was in the park we first kissed.""", || Hint: Grammar error
"grammar: What he did was surprising. (câu đúng) - Học viên viết ""What he did surprising.""", || Hint: Grammar error
"grammar: It was because of the rain that we stayed home. (câu đúng) - Học viên viết ""It was because of the rain we stayed home.""", || Hint: Grammar error
grammar: All I need is your love. (câu đúng - biến thể của 'What I need'), || Hint: Grammar error
"grammar: It is English that I find most difficult. (câu đúng) - Học viên viết ""It is English I find most difficult.""", || Hint: Grammar error
"grammar: What I want is to travel around the world. (câu đúng) - Học viên viết ""What I want to travel around the world.""", || Hint: Grammar error
"grammar: It was not until I met you that I understood love. (câu đúng) - Học viên viết ""It was not until I met you I understood love.""", || Hint: Grammar error
"grammar: The reason why I'm late is that I missed the bus. (câu đúng) - Học viên viết ""The reason I'm late is I missed the bus.""", || Hint: Grammar error
"grammar: It was my brother who broke the window. (câu đúng) - Học viên viết ""It was my brother broke the window.""", || Hint: Grammar error
"grammar: What I like most is reading books. (câu đúng) - Học viên viết ""What I like most reading books.""", || Hint: Grammar error
"grammar: It was in 1990 that I was born. (câu đúng) - Học viên viết ""It was in 1990 I was born.""", || Hint: Grammar error
"grammar: It is the blue one that I want. (câu đúng) - Học viên viết ""It is the blue one I want.""", || Hint: Grammar error
"grammar: All that matters is your happiness. (câu đúng) - Học viên viết ""All that matters your happiness.""", || Hint: Grammar error
"grammar: It was with great joy that we received the news. (câu đúng) - Học viên viết ""It was with great joy we received the news.""", || Hint: Grammar error
"grammar: What happened was unexpected. (câu đúng) - Học viên viết ""What happened unexpected.""", || Hint: Grammar error
"grammar: It is the teacher who I respect the most. (câu đúng) - Học viên viết ""It is the teacher I respect the most.""", || Hint: Grammar error
"grammar: What I need are more friends. (câu đúng - 'are' vì 'friends' số nhiều) - Học viên viết ""What I need is more friends."" (cũng đúng)", || Hint: Grammar error
"grammar: It was her that I saw at the party. (câu đúng) - Học viên viết ""It was her I saw at the party.""", || Hint: Grammar error
"grammar: The thing that I hate most is injustice. (câu đúng) - Học viên viết ""The thing I hate most is injustice.""", || Hint: Grammar error
"grammar: It was because she was ill that she didn't come. (câu đúng) - Học viên viết ""It was because she was ill she didn't come.""", || Hint: Grammar error
"grammar: What I need is a break. (câu đúng) - Học viên viết ""What I need a break.""", || Hint: Grammar error
"grammar: It was at this moment that I realized my mistake. (câu đúng) - Học viên viết ""It was at this moment I realized my mistake.""", || Hint: Grammar error
"grammar: What he said made me angry. (câu đúng) - Học viên viết ""What he said made me angry."" (câu đúng, không cần sửa)", || Hint: Grammar error
"grammar: It is English that is spoken here. (câu đúng) - Học viên viết ""It is English is spoken here.""", || Hint: Grammar error
"grammar: What I'm looking for is a job. (câu đúng) - Học viên viết ""What I'm looking for a job.""", || Hint: Grammar error
"grammar: It was in Paris that they first met. (câu đúng) - Học viên viết ""It was in Paris they first met.""", || Hint: Grammar error
