input,target
"tutor: I, uh, think that, like, the movie is, um, really good.","I think that the movie is really good. || Lỗi: Từ đệm (Filler words) || HD: Hãy loại bỏ các từ đệm như 'uh', 'um', 'like' để câu văn nói trở nên mạch lạc và tự tin hơn."
"tutor: So basically, he was going to the, the hospital.",He was going to the hospital. || Lỗi: Lặp từ và từ thừa || HD: Cần lược bỏ từ lặp 'the' và từ thừa 'So basically' không mang ý nghĩa thực tế.
"tutor: Um, I would like to, you know, order a coffee and, uh, a croissant.","I would like to order a coffee and a croissant. || Lỗi: Từ đệm (Filler words) || HD: Loại bỏ 'Um', 'you know', 'uh' giúp câu yêu cầu trở nên lịch sự và rõ ràng hơn."
"tutor: The meeting is, sort of, at 3 PM, uh, I think, or maybe 3:30.","The meeting is at 3 PM, I think, or maybe 3:30. || Lỗi: Từ đệm (Filler words) || HD: Bỏ 'sort of' và 'uh' để câu thông báo thời gian chính xác và chuyên nghiệp hơn."
"tutor: It was, like, the best day ever, you know what I mean?","It was the best day ever. || Lỗi: Từ đệm và câu thừa || HD: 'Like' và 'you know what I mean' không thêm ý nghĩa cho câu, nên lược bỏ."
"tutor: Uh, can you, uh, pass me the, the salt, please?","Can you pass me the salt, please? || Lỗi: Từ đệm và lặp từ || HD: Bỏ 'Uh' và chỉ dùng một lần 'the' để câu nói mượt mà, lịch sự."
"tutor: Basically, what I'm trying to, you know, say is that we need more time.",What I'm trying to say is that we need more time. || Lỗi: Từ thừa đầu câu và từ đệm || HD: Cắt 'Basically' và 'you know' để vào thẳng vấn đề.
"tutor: He is, um, a sort of a, you know, consultant.","He is a consultant. || Lỗi: Từ đệm và từ thừa || HD: Loại bỏ các từ thừa 'um', 'sort of a', 'you know' để định nghĩa nghề nghiệp rõ ràng."
"tutor: I, uh, literally, like, couldn't believe my eyes.","I couldn't believe my eyes. || Lỗi: Từ đệm và từ cường điệu || HD: Bỏ 'uh', 'literally', 'like' để câu cảm thán mạnh mẽ và tự nhiên hơn."
"tutor: So, um, I went to the store, and, uh, bought some milk, you know?","I went to the store and bought some milk. || Lỗi: Từ đệm và câu hỏi đuôi thừa || HD: Lược bỏ 'So, um', 'uh' và 'you know' để kể lại sự việc gọn gàng."
