input,target
tutor: I need to do a decision right now.,"I need to make a decision right now. || Hint: Ket hop tu (Collocation). Trong tieng Anh, ong tu 'make' i voi 'a decision', khong dung 'do'"
tutor: She is totally obsessed on listening to K-pop.,"She is totally obsessed with listening to K-pop. || Hint: Gioi tu sai ngu canh. Tinh tu 'obsessed' luon i kem voi gioi tu 'with', khong dung 'on'"
tutor: I have to do my homework before dinner.,I have to do my homework before dinner. || Hint: Khong co loi. 'Do homework' la ket hop tu ung; mot so ban nham thanh 'make homework'
tutor: He made a phone call to his mother.,He made a phone call to his mother. || Hint: Khong co loi. 'Make a phone call' la ung; tranh nham 'do a phone call'
tutor: I need to make my homework now.,"I need to do my homework now. || Hint: Ket hop tu (Collocation). Dung 'do' voi 'homework', khong dung 'make'"
tutor: We did a mistake in the report.,"We made a mistake in the report. || Hint: Ket hop tu (Collocation). 'Make a mistake' la ket hop co inh, khong dung 'do'"
tutor: Can you give me an advice?,"Can you give me some advice? || Hint: Mao tu va danh tu khong em uoc. 'Advice' khong em uoc, khong dung 'an'; co the dung 'some advice' hoac 'a piece of advice'"
tutor: I depend from my parents for financial support.,"I depend on my parents for financial support. || Hint: Gioi tu sai ngu canh. 'Depend' i voi gioi tu 'on', khong dung 'from'"
tutor: She is very interested on learning Japanese.,"She is very interested in learning Japanese. || Hint: Gioi tu sau tinh tu. 'Interested' luon i voi 'in', khong dung 'on'"
tutor: I'm not good in playing chess.,"I'm not good at playing chess. || Hint: Gioi tu sau tinh tu. 'Good at' chi su gioi ve mot linh vuc, khong dung 'in'"
tutor: We discussed about the problem for hours.,"We discussed the problem for hours. || Hint: Thua gioi tu. 'Discuss' la ngoai ong tu, theo sau truc tiep boi tan ngu, khong can 'about'"
tutor: He told me that he will come.,"He told me that he would come. || Hint: Khong nhat quan thi. Trong cau gian tiep, thi tuong lai 'will' phai lui thanh 'would' khi ong tu tuong thuat o qua khu"
tutor: I want to make a party for my birthday.,"I want to have a party for my birthday. || Hint: Ket hop tu (Collocation). 'Have a party' la cum ung; 'make a party' chi dung khi nhan manh viec to chuc, sap at nhung 'have' pho bien hon"
tutor: She did a lot of money last year.,"She made a lot of money last year. || Hint: Ket hop tu (Collocation). 'Make money' la ket hop co inh, khong dung 'do money'"
tutor: I am married with a doctor.,"I am married to a doctor. || Hint: Gioi tu sau tinh tu. 'Married' dung voi 'to', khong dung 'with'"
tutor: They arrived to the airport on time.,"They arrived at the airport on time. || Hint: Gioi tu sai. 'Arrive at' dung cho ia iem nho, nhu san bay; khong dung 'arrive to'"
tutor: I am afraid from snakes.,"I am afraid of snakes. || Hint: Gioi tu sau tinh tu. 'Afraid of' la ung, khong dung 'from'"
tutor: He said me that he was tired.,He told me that he was tired. || Hint: Dung sai ong tu tuong thuat. 'Say' khong co tan ngu truc tiep chi nguoi; dung 'tell someone' hoac 'say to someone'
"tutor: She told a lie to me, but I forgave her.","She told me a lie, but I forgave her. || Hint: Cau truc 'tell'. Co the noi 'tell a lie' hoac 'tell someone a lie', khong can gioi tu 'to'"
tutor: I am looking forward to see you.,"I am looking forward to seeing you. || Hint: Gioi tu va dang ong tu. 'Look forward to' co 'to' la gioi tu, theo sau la V-ing, khong phai ong tu nguyen the"
tutor: We had a meeting in 2pm.,"We had a meeting at 2pm. || Hint: Gioi tu chi thoi gian. Dung 'at' cho gio cu the, khong dung 'in'"
tutor: I go to the work by bus.,I go to work by bus. || Hint: Sai mao tu. 'Go to work' khong co mao tu; cum chi phuong tien 'by bus' cung khong co mao tu
tutor: He is good in mathematics.,"He is good at mathematics. || Hint: Gioi tu sau tinh tu. 'Good at' dung e chi kha nang, khong dung 'in'"
tutor: I listened the music all night.,I listened to music all night. || Hint: Thieu gioi tu. 'Listen' can gioi tu 'to' truoc tan ngu
tutor: She is addicted with social media.,"She is addicted to social media. || Hint: Gioi tu sau tinh tu. 'Addicted to' la ung, khong dung 'with'"
tutor: We need to discuss about the plan.,"We need to discuss the plan. || Hint: Thua gioi tu. 'Discuss' truc tiep i voi tan ngu, khong can 'about'"
tutor: I waited for the bus for an hour.,I waited for the bus for an hour. || Hint: Khong loi. 'Wait for' la gioi tu ung
tutor: I want to ask a question to you.,I want to ask you a question. || Hint: Trat tu tu va gioi tu. 'Ask someone something' khong can 'to'; cau 'ask a question to you' khong tu nhien
tutor: He apologized me for being late.,He apologized to me for being late. || Hint: Thieu gioi tu. 'Apologize to someone' can co 'to'
tutor: I am not agree with you.,"I don't agree with you. || Hint: Dung sai tro ong tu. Voi ong tu thuong 'agree', can dung tro ong tu 'do' e phu inh"
tutor: She is a much better singer than me.,"She is a much better singer than I am. || Hint: ai tu trong so sanh. Trong van viet trang trong, dung 'than I am' thay vi 'than me'"
tutor: I like to travel with train.,"I like to travel by train. || Hint: Gioi tu chi phuong tien. Dung 'by train' cho phuong tien, khong dung 'with'"
tutor: He insisted to pay for the meal.,"He insisted on paying for the meal. || Hint: Gioi tu va dang ong tu. 'Insist on' i voi V-ing, khong phai 'to + ong tu'"
tutor: I am responsible of the project.,"I am responsible for the project. || Hint: Gioi tu sau tinh tu. 'Responsible for' la ung, khong dung 'of'"
tutor: We had a lot of fun at the beach.,We had a lot of fun at the beach. || Hint: Khong loi. 'Have fun' la ket hop tu ung
tutor: I did a phone call to customer service.,I made a phone call to customer service. || Hint: Ket hop tu. 'Make a phone call' ung; 'do' khong dung voi 'phone call'
tutor: He took a mistake on the test.,"He made a mistake on the test. || Hint: Ket hop tu. 'Make a mistake', khong dung 'take'"
tutor: I need to take a decision soon.,"I need to make a decision soon. || Hint: Ket hop tu. 'Make a decision' la ket hop pho bien, du trong mot so ngu canh 'take a decision' cung uoc dung o Anh-Anh nhung 'make' thong dung hon"
tutor: Can you do me a favor?,Can you do me a favor? || Hint: Khong loi. 'Do someone a favor' la ung
tutor: I made a lot of research before writing.,"I did a lot of research before writing. || Hint: Ket hop tu. 'Do research', khong dung 'make research'"
tutor: We did a great progress this quarter.,"We made great progress this quarter. || Hint: Ket hop tu. 'Make progress' la ung, khong dung 'do progress'"
tutor: She always does her bed in the morning.,"She always makes her bed in the morning. || Hint: Ket hop tu. 'Make the bed' la cum co inh, khong dung 'do the bed'"
tutor: I have to make the dishes before leaving.,"I have to do the dishes before leaving. || Hint: Ket hop tu. 'Do the dishes' (rua bat) moi ung, khong dung 'make'"
tutor: He did a suggestion that we should go out.,He made a suggestion that we should go out. || Hint: Ket hop tu. 'Make a suggestion' la ung
tutor: Let's have a coffee together sometimes.,Let's have a coffee together sometime. || Hint: Tu de nham. 'Sometime' nghia la luc nao o; 'sometimes' nghia la thinh thoang
tutor: I do exercise every morning. (đúng),I do exercise every morning. || Hint: Khong loi. 'Do exercise' la ung; cung co the dung 'work out'
tutor: She makes a lot of exercises to stay fit.,"She does a lot of exercises to stay fit. || Hint: Ket hop tu. 'Do exercises' la ung, khong dung 'make'"
tutor: I like to make photos of nature.,"I like to take photos of nature. || Hint: Ket hop tu. 'Take photos', khong dung 'make photos'"
tutor: We made a long walk on the beach.,We took a long walk on the beach. || Hint: Ket hop tu. 'Take a walk' la ung
tutor: I had a rest after lunch. (có thể dùng),I took a rest after lunch. || Hint: Ket hop tu. 'Take a rest' pho bien hon 'have a rest' trong tieng Anh-My
tutor: He got a good job at the bank. (đúng),He got a good job at the bank. || Hint: Khong loi. 'Get a job' ung
tutor: I had my driving license last month.,"I got my driving license last month. || Hint: Ket hop tu. 'Get a license' chi viec nhan uoc, 'have' chi so huu; o ay moi nhan nen dung 'got'"
tutor: She made a lot of fun of me.,"She made a lot of fun of me. (có thể hiểu nhưng thường dùng 'made fun of me') || Hint: Ket hop tu. 'Make fun of someone' la cum co inh, khong can 'a lot of' o giua; co the noi 'She made fun of me a lot'"
tutor: We had a lot of fun. (đúng),We had a lot of fun. || Hint: Khong loi. 'Have fun' ket hop ung
tutor: I am very tired because I made a hard work.,"I am very tired because I did hard work. || Hint: Ket hop tu. 'Do work', khong dung 'make work'"
tutor: Please make me a favor.,Please do me a favor. || Hint: Ket hop tu. 'Do someone a favor' la co inh
tutor: He is capable to do it.,"He is capable of doing it. || Hint: Gioi tu va dang ong tu. 'Capable of' i voi V-ing, khong dung 'to'"
