input,target
"tutor: It was yesterday that I met her. (câu đúng) - Học viên viết ""It was yesterday I met her.""",**Corrected Sentence:** It was yesterday that I met her. || Hint: **Error Identification:** Thieu 'that' trong cau che nhan manh thoi gian.
"tutor: It is Tom who helped me. (câu đúng) - Học viên viết ""It is Tom helped me.""",**Corrected Sentence:** It is Tom who helped me. || Hint: **Error Identification:** Thieu ai tu quan he 'who' cho nguoi.
"tutor: It was the red car that I bought. (câu đúng) - Học viên viết ""It was the red car I bought.""",**Corrected Sentence:** It was the red car that I bought. || Hint: **Error Identification:** Thieu 'that' cho vat.
"tutor: What I need is a new car. (câu đúng) - Học viên viết ""What I need a new car.""",**Corrected Sentence:** What I need is a new car. || Hint: **Error Identification:** Thieu ong tu 'is' trong cau truc 'What...is'.
"tutor: It was in the park that we first kissed. (câu đúng) - Học viên viết ""It was in the park we first kissed.""",**Corrected Sentence:** It was in the park that we first kissed. || Hint: **Error Identification:** Thieu 'that' sau cum gioi tu.
"tutor: What he did was surprising. (câu đúng) - Học viên viết ""What he did surprising.""",**Corrected Sentence:** What he did was surprising. || Hint: **Error Identification:** Thieu 'was'  cau truc 'What...be' can ong tu to be.
"tutor: It was because of the rain that we stayed home. (câu đúng) - Học viên viết ""It was because of the rain we stayed home.""",**Corrected Sentence:** It was because of the rain that we stayed home. || Hint: **Error Identification:** Thieu 'that' sau cum 'because of'.
tutor: All I need is your love. (câu đúng - biến thể của 'What I need'),**Corrected Sentence:** All I need is your love. || Hint: **Error Identification:** Cau ung  'All I need' = 'The only thing I need'.
"tutor: It is English that I find most difficult. (câu đúng) - Học viên viết ""It is English I find most difficult.""",**Corrected Sentence:** It is English that I find most difficult. || Hint: **Error Identification:** Thieu 'that'.
"tutor: What I want is to travel around the world. (câu đúng) - Học viên viết ""What I want to travel around the world.""",**Corrected Sentence:** What I want is to travel around the world. || Hint: **Error Identification:** Thieu 'is'.
"tutor: It was not until I met you that I understood love. (câu đúng) - Học viên viết ""It was not until I met you I understood love.""",**Corrected Sentence:** It was not until I met you that I understood love. || Hint: **Error Identification:** Thieu 'that' trong cau truc 'It was not until...that'.
"tutor: The reason why I'm late is that I missed the bus. (câu đúng) - Học viên viết ""The reason I'm late is I missed the bus.""","**Corrected Sentence:** The reason why I'm late is that I missed the bus. (hoặc The reason I'm late is I missed the bus – cũng chấp nhận) || Hint: **Error Identification:** Co the bo 'why' va 'that' trong van noi, nhung nen giu trong van viet."
"tutor: It was my brother who broke the window. (câu đúng) - Học viên viết ""It was my brother broke the window.""",**Corrected Sentence:** It was my brother who broke the window. || Hint: **Error Identification:** Thieu 'who' cho chu ngu la nguoi.
